time,time,open,high,low,close,tick_volume,spread,real_volume
2021-11-08 11:59:00,2021-11-08 11:59:00,5692.411,5692.922,5690.878,5691.9,2140,1,6413
2021-11-08 12:00:00,2021-11-08 12:00:00,5691.9,5693.943,5691.389,5693.943,1547,1,5209
2021-11-08 12:01:00,2021-11-08 12:01:00,5693.432,5693.943,5692.411,5693.943,1146,1,4500
2021-11-08 12:02:00,2021-11-08 12:02:00,5693.943,5693.943,5692.411,5693.943,685,1,2227
2021-11-08 12:03:00,2021-11-08 12:03:00,5693.432,5693.943,5691.9,5691.9,922,1,3612
2021-11-08 12:04:00,2021-11-08 12:04:00,5692.411,5694.454,5691.9,5694.454,1006,1,2971
2021-11-08 12:05:00,2021-11-08 12:05:00,5693.943,5695.476,5693.432,5695.476,1285,1,3492
2021-11-08 12:06:00,2021-11-08 12:06:00,5695.476,5696.498,5694.454,5695.476,1429,1,4190
2021-11-08 12:07:00,2021-11-08 12:07:00,5695.476,5695.987,5692.922,5695.476,1248,1,3230
2021-11-08 12:08:00,2021-11-08 12:08:00,5695.987,5696.498,5695.476,5696.498,801,1,3352
2021-11-08 12:09:00,2021-11-08 12:09:00,5695.987,5699.052,5695.476,5697.008,1978,1,6661
2021-11-08 12:10:00,2021-11-08 12:10:00,5697.008,5698.03,5695.476,5696.498,834,1,2304
2021-11-08 12:11:00,2021-11-08 12:11:00,5695.987,5699.052,5695.987,5698.541,1024,1,3368
2021-11-08 12:12:00,2021-11-08 12:12:00,5698.03,5698.541,5694.454,5695.987,1458,1,4351
2021-11-08 12:13:00,2021-11-08 12:13:00,5695.476,5698.03,5693.943,5697.008,1311,1,4195
2021-11-08 12:14:00,2021-11-08 12:14:00,5697.519,5698.03,5695.476,5695.987,549,1,1591
2021-11-08 12:15:00,2021-11-08 12:15:00,5695.987,5700.584,5695.987,5699.052,1927,1,5116
2021-11-08 12:16:00,2021-11-08 12:16:00,5699.563,5699.563,5697.008,5697.519,959,1,3033
2021-11-08 12:17:00,2021-11-08 12:17:00,5697.519,5697.519,5694.454,5694.965,1164,1,3620
2021-11-08 12:18:00,2021-11-08 12:18:00,5694.965,5695.987,5692.922,5693.432,1512,1,4207
2021-11-08 12:19:00,2021-11-08 12:19:00,5693.432,5695.476,5692.922,5694.965,785,1,2142
2021-11-08 12:20:00,2021-11-08 12:20:00,5694.965,5697.008,5694.454,5696.498,825,1,1967
2021-11-08 12:21:00,2021-11-08 12:21:00,5696.498,5697.008,5695.987,5696.498,309,1,747
2021-11-08 12:22:00,2021-11-08 12:22:00,5696.498,5698.03,5695.987,5696.498,581,1,1506
